restaurant_name,address,rating,page_url,top_7_dishes
"Tạp Hóa Ăn Vặt - Mì Xào, Cá Viên Chiên & Bánh Tráng - Đường 385","111/8 Đường 385, P. Tăng Nhơn Phú A, Thành Phố Thủ Đức, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/tap-hoa-an-vat-mi-xao-ca-vien-chien-banh-trang-duong-385,Cá Viên Chiên Mắm Tỏi Vừa | Bánh Tráng Trộn Vừa | Cá Viên Chiên Mắm Tỏi Vừa | Combo Cá Viên Chiên Vừa | Đậu Hủ Rau Răm Muối Tiêu ( 1 miếng) | Mì Xào Cá Viên Mắm Tỏi Vừa | Trứng Cút Cháy Bơ Tỏi
LY VITAMIN - Đường Số 4,"01 Đường Số 4, P. Bình Hưng Hoà A, Bình Tân, TP. HCM",5.0,https://shopeefood.vn/ho-chi-minh/ly-vitamin-duong-so-4,Nước ép Lê | Nước ép Táo | Nước ép Cà Rốt | Nước ép Ổi | Nước ép Thơm | Sinh tố Bơ | Sinh tố Sapoche
Ăn Vặt Ú Ù Muội,"80 Phan Huy Ích, P. 15, Gò Vấp, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/an-vat-u-u-muoi,
Khô Gà Lá Chanh - Ăn Vặt Ngon - 187 Trần Văn Đang,"187/6 Trần Văn Đang, P. 11, Quận 3, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/kho-ga-la-chanh-an-vat-ngon-187-tran-van-dang,Mì trộn gà viên | Cơm trộn trứng thịt bằm | Cơm trộn trứng | Cơm trộn thịt bằm kim chi | Combo lạp xưởng nướng đá+ nước ngọt | Combo xúc xích hải sản+ nước ngọt | Box pizza+ gà rán+ khoai tây chiên
Bún Đậu Cậu Ngố - Đường Số 11,"78/44/10A Đường Số 11, P. 11, Gò Vấp, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/bun-dau-cau-ngo-duong-so-11,Mắm tôm | Liên hệ quán 0914005150 | Bún đậu thập cẩm | Bún đậu thập cẩm 2 người | Bún đậu tá lả (8 topping) | Bún đậu chả cốm | Bún đậu tá lả lớn (2-3người)
Cô Thúy - Bánh Tráng Trộn Muối Tỏi - 234/4/2 Nguyễn Văn Đậu,"234/4/2 Nguyễn Văn Đậu, P. 11, Bình Thạnh, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/co-thuy-banh-trang-tron-muoi-toi-234-4-2-nguyen-van-dau,"Phương sương satế muối nhuyễn hành phi | Phương sương satế muối nhuyễn hành phi | Phơi sương muối gánh satế hành phi tôm | Phơi sương muối hạt satế cay | Phơi Sương satế tỏi | Bánh tráng phơi sương, muối tép hành phi, 2 bịch bơ | Phơi sương muối tắc"
Gà Nướng Muối Ớt Ngọc Tiên - Thoại Ngọc Hầu,"207 Thoại Ngọc Hầu, P. Phú Thạnh, Tân Phú, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/ga-nuong-muoi-ot-ngoc-tien-thoai-ngoc-hau,1 Con gà nướng muối ớt | 1 Con gà nướng sốt sa kê | 1 Con Gà Nướng Sốt Sa Kê  + 2 Cái Bánh Bao Chiên | 1 Con Gà Nướng Muối Ớt + 2 Cái Bánh Bao Chiên | 1 Con Gà Nướng sốt + 5 Bánh Bao chiên | 2 Con Gà Nướng Muối Ớt | 2 Con Gà Nướng Sốt Sa Kê
Thaideli - Lẩu Thái & Món Thái - Kênh Tân Hóa,"Đầm Sen Square, Kênh Tân Hóa, P. 3, Quận 11, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/thaideli-lau-thai-mon-thai-kenh-tan-hoa,A1 - Combo Lẩu Thái Tomyum đặc biệt 3-4 | A2 - Combo Lẩu Thái Tomyum Thaideli 4-6 | Sốt Thái Pataya | A0 - Combo Lẩu Thái Tomyum Thaideli 2-3 | Lẩu Thái Tomyum thập cẩm (2-3) | Lẩu Thái bò nấm kim châm (2-3người) | Ba Chỉ Bò Mỹ 200gr
Chiang Thai Delivery - Quận 10,"104/59 Thành Thái, P. 12, Quận 10, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/chiang-thai-delivery-quan-10,Pad Thai Tôm | Pad Thai Bò | Hủ tiếu áp chảo với Tôm | Pad Thai Gà | Hủ tiếu mềm xào thịt Bò | Hủ tiếu mềm xào gà | Cơm chiên Cua
Gỏi Đu Đủ & Chân Gà Sốt Thái A Quyết,"46 Tăng Nhơn Phú, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/goi-du-du-chan-ga-sot-thai-a-quyet,TRÀ TẮC THÁI XANH | ¶ 0969796131 | Gỏi đu đủ Thái Lan chân sứa | Gỏi đu đủ ba khía Thái Lan | Gỏi đu đủ Thái Lan | Gỏi đu đủ Thập cẩm | Gỏi đu đủ Thái Lan đặc biệt
